UAC privilege (Class K )_1_1,Local HMI,PLW_Bit,895310,,Undesignated
UAC privilege (Class L )_1_1,Local HMI,PLW_Bit,895311,,Undesignated
UAC command_1_1,Local HMI,PLW,8950,,Undesignated
UAC command execution result_1_1,Local HMI,PLW,8951,,Undesignated
UAC user index_1_1,Local HMI,PLW,8952,,Undesignated
UAC user privilege_1_1,Local HMI,PLW,8953,,Undesignated
UAC user name_1_1,Local HMI,PLW,8954,,Undesignated
UAC password_1_1,Local HMI,PLW,8962,,Undesignated
SETPOINT,Local HMI,LW,10,,32-bit Float
VELOCIDADE_ATUAL_RPM,Local HMI,LW,890,,32-bit Unsigned
FREQUENCIA,Local HMI,LW,580,,32-bit Float
STATUS_LIGADO,Local HMI,LB,10,,Undesignated
DESLIGADO,Local HMI,LB,11,,Undesignated
LIGAR,Local HMI,LB,200,,Undesignated
DESLIGAR,Local HMI,LB,100,,Undesignated
STATUS_FALHA,Local HMI,LB,14,,Undesignated
RESET,Local HMI,LB,15,,Undesignated
MANUAL,Local HMI,LB,400,,Undesignated
STATUS_MANUAL_AUTOMATICO,Local HMI,LB,17,,Undesignated
INTERT,Local HMI,LB,18,,Undesignated
IN-STS,Local HMI,LB,19,,Undesignated
COMM,Local HMI,LB,20,,Undesignated
STATUS_LOCAL_REMOTO,Local HMI,LB,21,,Undesignated
STATUS_SENTIDO_DE_GIRO_REV,Local HMI,LB,22,,Undesignated
FCURS,Local HMI,LB,23,,Undesignated
EMERG,Local HMI,LB,24,,Undesignated
STATUS_READY,Local HMI,LB,25,,Undesignated
TAG,Local HMI,LW,200,,Undesignated
SHOW_POPUP,Local HMI,LB,250,,Undesignated
MOTOR_ATUAL_POPUP_ABERTO,Local HMI,LW,350,,Undesignated
CORRENTE,Local HMI,LW,900,,Undesignated
KEYPAD_SETPOINT_HABILITADO,Local HMI,LB,950,,Undesignated
NOME,Local HMI,LW,700,,Undesignated
AUTOMATICO,Local HMI,LB,300,,Undesignated
START_LOADING_SPINNER,Local HMI,LB,900,,Undesignated
